action_name,count,mean_reward_shaped,pct_compromise,pct_credential,pct_exploit,pct_detect
ip_address,1760,-0.19545454545454546,0.007954545454545454,0.007954545454545454,0.0,0.0
target_session,1721,-0.16972690296339338,0.005810575246949448,0.005810575246949448,0.0,0.0
process,1787,-0.16715165081141578,0.005595970900951315,0.005595970900951315,0.0,0.0
password,1827,-0.1656814449917898,0.005473453749315818,0.005473453749315818,0.0,0.0
agent,1844,-0.16507592190889372,0.005422993492407809,0.005422993492407809,0.0,0.0
port,1782,-0.1606060606060606,0.005050505050505051,0.005050505050505051,0.0,0.0
action,1826,-0.15914567360350493,0.004928806133625411,0.004928806133625411,0.0,0.0
subnet,1867,-0.1578468130690948,0.0048205677557579,0.0048205677557579,0.0,0.0
username,1843,-0.14557786218122626,0.0037981551817688553,0.0037981551817688553,0.0,0.0
hostname,1871,-0.14489577765900588,0.0037413148049171567,0.0037413148049171567,0.0,0.0
session,1872,-0.13205128205128205,0.002670940170940171,0.002670940170940171,0.0,0.0
